joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.2026025,6.58253,7.4058305,5.6479937,4.768878,6.320612,7.2149664,6.275072,4.5548345,7.142769,7.210402,7.2075006
4.125401,7.320189,2.8197618,3.9505015,2.7253319,6.2916203,2.979215,5.0777026,4.702788,7.157114,6.813691,3.507435
7.2985617,7.268504,7.5145284,7.263074,7.27896,7.2287208,7.1825305,7.225686,7.202545,7.211818,7.218902,7.2047482
7.3052355,8.926765,8.424178,7.2918864,7.4544264,7.2196084,7.2792183,7.35118,7.2042237,7.5378295,7.339386,7.22202
7.1816016,7.274505,7.3103915,6.689328,7.2036453,7.2029344,7.211474,4.609321,7.200805,7.204056,7.3711563,7.2061563
2.5046257,3.9448234,7.348375,4.6676208,6.4049536,1.1323486,4.559097,1.7799185,2.4071887,6.2287155,3.9999066,7.1921116
3.916759,6.2581993,3.725266,6.033037,7.222539,7.196695,5.7424303,2.8787676,6.9848686,5.914067,5.0273944,3.6080895
7.324474,7.294558,7.369931,7.259805,4.575726,6.010403,7.20307,4.443576,6.065712,7.199252,7.223738,5.821969
2.8729964,2.3069354,7.047112,3.1940542,3.7139464,3.2950834,6.2304417,3.0170685,3.6804653,6.1937686,6.62983,4.322953
6.2686687,7.2904035,4.633217,7.2695666,7.0244976,3.942993,6.989999,6.469421,7.2094775,7.2052847,5.7846066,6.6396748
7.20898,7.2463003,7.3482414,7.3003937,7.151576,7.196589,7.223981,7.238591,5.5944353,7.2102386,7.2046705,7.233441
9.408895,7.779426,7.264579,7.232495,7.982288,7.227735,7.2415906,7.258745,7.250113,7.2093554,7.2746116,7.2247344
7.261662,7.3329907,7.2743317,7.2266127,7.243061,7.18236,7.3195764,7.2371446,7.341519,7.32701,7.2129684,7.231788
5.9364124,5.6714617,7.2108885,4.4255663,5.291208,4.7276007,6.482811,4.0990726,6.864845,4.826366,7.2525826,7.213099
5.1362086,6.1863686,7.2489596,4.4423114,3.1812147,7.1230827,3.6148253,3.901581,5.2308274,7.2024756,5.6959992,7.121562
7.016511,7.2266117,7.1495977,7.285434,4.151749,7.213774,7.183908,2.7533685,7.5882374,7.211468,7.125386,7.197112
7.2764455,7.5957943,6.873979,6.9016877,5.2348896,5.7606846,3.5425032,4.9541455,7.160561,7.5295583,6.7038146,3.9264084
7.217604,7.179321,7.2531873,7.24002,7.205832,6.3233567,5.7776247,4.501052,7.2042247,7.201105,7.37108,7.3047715
7.204726,7.3746468,5.8638636,7.2653943,7.201077,7.287916,7.2378155,7.216308,7.199805,7.201195,7.2068997,7.2053476
7.2306863,7.667604,7.1148363,7.2088467,7.3831244,7.247744,7.2496696,7.2386423,7.458725,7.2153445,7.212343,7.2250978
7.197724,7.26378,7.157553,7.327634,8.634494,7.166288,7.2435356,7.4583555,7.2319156,7.296599,7.3744284,7.212447
7.2000533,3.3977612,7.217692,5.261583,6.164177,2.998147,4.847545,7.164056,8.97332,6.3058573,7.3358623,6.951568
3.7222925,6.97952,7.2306343,6.3567883,6.98334,2.1809042,1.1364822,7.075864,7.200817,7.223616,6.6954585,6.809279
5.3795053,7.260669,7.0659705,6.305639,6.958639,7.182106,7.2778603,5.7629705,7.2432033,7.1991187,7.2036773,7.192103
7.696197,6.8093077,7.2664534,7.2858068,7.200164,5.366468,5.1978484,7.2234627,7.2009088,7.1927067,7.2039166,7.2289973
4.5220376,7.1940332,6.496249,7.299768,7.2158676,1.1351934,4.152531,2.6840254,5.917502,3.4064296,4.1034585,2.7517494
7.309068,9.994015,7.345765,7.258594,7.258581,7.2160855,7.2152687,7.242406,7.300884,7.218913,7.2572647,7.231774
7.2104646,9.18061,7.1688753,7.355969,7.2147346,8.406214,6.6515666,7.2547675,7.209584,7.2139865,7.2154737,7.2205277
6.537347,6.7178546,7.215241,5.8013707,7.19708,7.235899,7.2297264,4.7050315,7.1983233,7.1761786,7.219215,7.217089
9.22002,7.505514,7.5515405,7.737966,7.25945,7.211906,7.2833014,7.321151,7.205613,7.4492093,7.2137185,7.269278
