joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.3602563,7.1878673,6.8579155,6.785093,4.6374026,5.252933,7.172934,6.8576466,7.200228,7.204535,7.2307807,7.245781
7.292346,4.799829,4.592344,4.0793806,6.7068473,4.67074,7.09776,7.171199,7.200235,7.2083574,7.2148386,7.4512163
6.86345,7.1630283,5.971938,6.6181246,4.0788027,3.6827675,5.408298,3.1846965,7.2002192,6.3427306,7.653606,7.21848
7.230986,7.2588326,7.238283,7.5260526,4.5466023,4.243219,7.1907607,6.9233843,7.200232,7.201506,7.2918325,7.381721
5.396771,4.621719,5.3459683,4.332167,3.1041234,2.9508072,5.694869,2.429453,7.2001005,7.2052604,7.3493725,7.2185308
7.2050644,7.3351794,7.228378,7.282694,7.2605406,7.27459,4.9093243,7.22186,7.205471,7.2149487,7.226046,7.332515
6.7957564,7.3063847,7.187819,7.2450667,6.113996,6.9875117,6.927766,5.6286694,7.2002126,7.2137977,7.2141024,7.227476
7.220381,7.256017,7.3354364,7.3339134,7.2047606,7.1895844,6.0920583,7.1685153,7.200222,7.231841,7.3229776,7.2443367
7.2201835,5.1637007,7.3072077,7.2071267,7.2123595,5.7001525,6.4941627,6.137606,7.2002154,7.2715713,7.786979,7.217961
7.700067,7.224517,7.2830983,7.2947217,7.2061454,7.2573305,6.9884144,7.2444683,7.200193,7.2184206,7.21706,7.235562
3.981854,7.157521,5.7260138,7.0331813,6.722689,4.192654,3.1099678,7.190766,7.2002016,7.4669043,7.204892,7.2357107
7.326692,5.464904,8.062335,7.908649,7.22911,3.2937943,7.0679203,7.2703277,7.200247,7.2202765,7.4222337,7.213361
7.2150804,7.2746583,7.440107,7.2828284,7.1314655,7.2056833,7.3122574,7.1911984,7.242462,7.295759,7.2236067,8.250417
7.1735846,7.209517,6.0139066,7.2292763,7.2413445,7.2058536,6.444042,7.2559954,8.683305,7.2256037,7.2143208,7.2941156
7.2268177,7.2246266,7.2536674,7.393299,4.088748,5.883078,6.4431234,5.951692,7.2002054,6.787427,7.628389,7.9674755
7.2054277,7.222902,7.2956234,7.2800847,4.386943,7.181951,5.5745493,3.6352235,7.2756535,7.220878,7.3514844,7.2453457
