joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
27.278488,10.613947,18.217007,9.342532,13.20715,9.200541,14.875628,9.525456,13.226892,19.103203,13.011347,15.065567
9.007121,16.3285,10.019319,8.128505,10.774485,17.295666,8.303166,8.374303,13.440842,13.737909,17.665987,13.679682
9.32082,13.58199,9.762238,14.919722,11.332858,14.741029,10.8028555,13.778549,12.453176,19.302124,12.6225605,14.142396
13.322292,16.858988,10.896075,18.62977,13.352844,19.920889,10.344445,14.525801,12.511435,15.346984,9.759914,12.499544
7.053432,11.395911,10.8250885,7.347219,4.438132,6.3090205,7.734171,8.8253145,6.487817,8.430609,15.366533,16.438736
23.32235,16.036707,19.788218,21.662199,15.3318815,12.100602,14.679088,16.891106,19.922544,20.0562,14.053533,16.723877
19.908844,14.394135,12.567435,8.670261,15.978148,10.759963,13.518703,8.526567,15.19359,15.765029,11.282158,10.029806
17.842585,8.9466915,12.068603,13.533854,5.9390893,6.137302,4.479349,6.336813,9.934273,6.2880144,7.226795,9.950105
11.344244,5.561877,7.994208,5.6631513,6.3078184,5.7102475,3.1859107,4.0975924,6.4948354,10.563961,9.274251,4.6434755
19.88173,11.198764,19.58816,9.897545,10.338739,14.491048,16.008724,12.110149,13.820207,18.160963,13.561623,16.953089
7.0524282,14.768934,19.021194,7.2770987,8.313286,15.671723,9.225311,12.082655,11.695858,14.704156,11.307084,8.00659
9.470077,15.84887,9.700604,17.404938,11.84833,13.831943,11.253847,14.283426,12.527542,13.201634,11.901947,10.940877
2.6301517,13.205828,13.963892,1.775199,0.99616385,13.57621,9.675536,1.2482108,4.5469375,15.359368,17.057774,2.1248903
26.161448,13.650234,13.30112,10.803714,17.153292,11.652992,12.757188,8.775517,13.248772,20.070097,12.023912,8.016335
2.5365915,5.394023,2.3529367,3.681402,5.553649,3.1614232,6.127778,6.679381,6.0258756,6.924542,6.5795927,8.713402
